kuo_(kuo114514),sso_gye,"['sso', 'gye']","[25900, 21728]"
arin_(fanfan013),ith_ld,"['ith', 'ld']","[6133, 1431]"
litsvn,rik_ryo,"['rik', 'ryo']","[31136, 24460]"
heart_(z603458jj6),apr_nac,"['apr', 'nac']","[39396, 14557]"
maimuro,tof_ke,"['tof', 'ke']","[6659, 643]"
yunsang,kk_sna,"['kk', 'sna']","[4390, 4032]"
banned_artist dogdogbhh,kaj_tc,"['kaj', 'tc']","[44788, 6820]"
houtei9,bir_gic,"['bir', 'gic']","[921, 27900]"
chyan,duf_uki,"['duf', 'uki']","[38713, 37435]"
yd_(orange_maru),yyc_odu,"['yyc', 'odu']","[27542, 35095]"
hiko_(scape),beh_xie,"['beh', 'xie']","[21971, 40122]"
jiuyesang,rha_yt,"['rha', 'yt']","[19473, 36777]"
chiemo_(xcem),gm_hc,"['gm', 'hc']","[18743, 15831]"
zi_terani,bie_anc,"['bie', 'anc']","[5561, 1124]"
lynchis,raf_pei,"['raf', 'pei']","[11495, 48166]"
roitz_(_roitz_),chs_emp,"['chs', 'emp']","[40277, 3831]"
kurikabacha,nah_ian,"['nah', 'ian']","[26421, 7723]"
yean,ue_ffy,"['ue', 'ffy']","[16696, 26404]"
rumoon,kes_oux,"['kes', 'oux']","[38398, 40960]"
sako_(35s_00),csi_whi,"['csi', 'whi']","[41750, 4295]"
ter_(otokoter),mg_yi,"['mg', 'yi']","[10003, 5826]"
han-0v0,oci_ead,"['oci', 'ead']","[9891, 42556]"
cyobiro,exo_abs,"['exo', 'abs']","[15600, 18431]"
deadprince,gni_uof,"['gni', 'uof']","[5104, 11155]"
yukihira_makoto,byz_tg,"['byz', 'tg']","[35406, 7665]"
fu-ta,dur_aso,"['dur', 'aso']","[4355, 30343]"
zero_(miraichizu),cd_pd,"['cd', 'pd']","[4308, 4387]"
zhibuji_loom,ori_ft,"['ori', 'ft']","[1540, 3391]"
rsef,oun_mcl,"['oun', 'mcl']","[636, 49021]"
banned_artist midori_foo,umb_moc,"['umb', 'moc']","[7493, 41439]"
banned_artist liita_(dusk_snow),zoe_tof,"['zoe', 'tof']","[43114, 6659]"
lobelia_(saclia),kir_ct,"['kir', 'ct']","[3476, 3381]"
yako_mashiro,ced_cip,"['ced', 'cip']","[25634, 32884]"
isshiki_(ffmania7),gi_kie,"['gi', 'kie']","[707, 8544]"
nokoru_sora,ony_aph,"['ony', 'aph']","[9490, 16341]"
tokkihouse,iam_amo,"['iam', 'amo']","[3579, 4833]"
so-bin,myo_ung,"['myo', 'ung']","[16206, 10439]"
chon_(chon33v),boc_wac,"['boc', 'wac']","[27307, 27445]"
nekomugiharu,egy_kyr,"['egy', 'kyr']","[5224, 26329]"
marumoru,bli_syl,"['bli', 'syl']","[1450, 6452]"
yoneyama_mai,aud_kew,"['aud', 'kew']","[16107, 38014]"
mogumo,dge_noc,"['dge', 'noc']","[4016, 16988]"
omutatsu,irl_vak,"['irl', 'vak']","[34494, 16288]"
rolua,kho_aak,"['kho', 'aak']","[14022, 37739]"
riri_(ri0177),oru_nes,"['oru', 'nes']","[44629, 5457]"
hitokoto,zzy_daz,"['zzy', 'daz']","[21275, 15449]"
chyoel,abe_bab,"['abe', 'bab']","[15856, 1202]"
chi4,usa_kyr,"['usa', 'kyr']","[9491, 26329]"
han_yijie,iw_vit,"['iw', 'vit']","[13058, 4056]"
magotsuki_(hurray),een_klu,"['een', 'klu']","[47490, 21852]"
freng,jee_unf,"['jee', 'unf']","[29250, 29285]"
neco,taf_lv,"['taf', 'lv']","[29660, 10862]"
shokuen_(oxstl),voy_aki,"['voy', 'aki']","[10622, 18173]"
miwano_rag,knu_inc,"['knu', 'inc']","[14812, 14570]"
z3zz4,nw_yur,"['nw', 'yur']","[7826, 42533]"
blade_(galaxist),vai_kof,"['vai', 'kof']","[26893, 17528]"
saitou_masatsugu,oon_lp,"['oon', 'lp']","[35651, 22282]"
nadegata,msd_oo,"['msd', 'oo']","[25804, 574]"
sankichi_(croquette_crab),afe_jyo,"['afe', 'jyo']","[30487, 27378]"
nekojira,ofi_nes,"['ofi', 'nes']","[36692, 5457]"
aspara,iw_ces,"['iw', 'ces']","[13058, 28715]"
nishikikope,ib_rei,"['ib', 'rei']","[3962, 15343]"
yurun_(yurun_ume),dt_fri,"['dt', 'fri']","[13104, 815]"
daluto_(hitomi555),gic_moe,"['gic', 'moe']","[27900, 38655]"
swd3e2,mlb_gf,"['mlb', 'gf']","[21039, 28953]"
nes_(nes_402),bly_eci,"['bly', 'eci']","[20930, 31936]"
banned_artist lirseven,eag_rm,"['eag', 'rm']","[3743, 20202]"
diverse_system mika_pikazo,tem_kev,"['tem', 'kev']","[2404, 22758]"
yuge_(mkmk),ecu_wic,"['ecu', 'wic']","[13087, 7834]"
momoko_(momopoco),sel_puj,"['sel', 'puj']","[1000, 46163]"
lpip,zab_jah,"['zab', 'jah']","[22982, 20067]"
sinobi_illust,gz_sru,"['gz', 'sru']","[45937, 44152]"
ababarion,sek_aas,"['sek', 'aas']","[45515, 28542]"
huaji_niang,vic_vt,"['vic', 'vt']","[1555, 31732]"
vihua6,cma_sj,"['cma', 'sj']","[30554, 7536]"
chongzhen_085,bs_ph,"['bs', 'ph']","[11783, 745]"
gawako,nur_iom,"['nur', 'iom']","[3920, 33000]"
mo:oku,sav_fs,"['sav', 'fs']","[2248, 23699]"
achiki,eto_nad,"['eto', 'nad']","[27829, 6204]"
syhan,eri_aqu,"['eri', 'aqu']","[2769, 4458]"
pipi,sci_nbc,"['sci', 'nbc']","[2267, 9352]"
723/nanahumi,koo_loc,"['koo', 'loc']","[12225, 1378]"
heirou,vip_mes,"['vip', 'mes']","[45714, 28432]"
rin_yuu,wak_byz,"['wak', 'byz']","[11172, 35406]"
kanzarin,bak_iot,"['bak', 'iot']","[4059, 32694]"
,gz_vue,"['gz', 'vue']","[45937, 43915]"
aiko_(kanl) banned_artist,zom_ved,"['zom', 'ved']","[6623, 19515]"
akizero1510,mf_syd,"['mf', 'syd']","[18199, 4525]"
alicecoco,rez_esk,"['rez', 'esk']","[27597, 19359]"
anataa,jou_ext,"['jou', 'ext']","[19921, 5711]"
green_night,lma_kio,"['lma', 'kio']","[4493, 28210]"
ata-zhubo,mam_omi,"['mam', 'omi']","[4404, 24097]"
kincora,var_aon,"['var', 'aon']","[3187, 30928]"
hasisisissy,mtv_sgo,"['mtv', 'sgo']","[8099, 5393]"
beudelb,cli_hr,"['cli', 'hr']","[1503, 4810]"
captain_yue,nrl_ahi,"['nrl', 'ahi']","[27142, 45349]"
soungruan_mian_mao,bk_oto,"['bk', 'oto']","[15099, 23946]"
uekura_eku,kho_tc,"['kho', 'tc']","[14022, 6820]"
matsuo_shogo,fol_xe,"['fol', 'xe']","[1106, 42886]"
